"trial_name","trial_id","session","trial","trial_text","keylog","editor","operating_system","age_group","dialect","gender","character_type","trial_date","uniq","token","token_type","chinese_id","segment","text_seg_id"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","3","ang","final","2","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","3","ang","final","2","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","4","1","selection","2","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","4","1","selection","2","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","4","1","selection","2","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","5","z","initial","3","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","5","z","initial","3","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","5","z","initial","3","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","5","z","initial","3","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","6","ong","final","3","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","6","ong","final","3","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","6","ong","final","3","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","6","ong","final","3","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","7","sh","initial","4","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","7","sh","initial","4","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","7","sh","initial","4","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","7","sh","initial","4","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","8","i","final","4","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","8","i","final","4","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","8","i","final","4","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","8","i","final","4","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","9","1","selection","4","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","9","1","selection","4","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","9","1","selection","4","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","10","sh","initial","5","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","10","sh","initial","5","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","10","sh","initial","5","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","10","sh","initial","5","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","11","ui","final","5","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","11","ui","final","5","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","11","ui","final","5","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","11","ui","final","5","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","12","b","initial","6","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","12","b","initial","6","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","12","b","initial","6","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","12","b","initial","6","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","13","u","final","6","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","13","u","final","6","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","13","u","final","6","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","13","u","final","6","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","14","zh","initial","7","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","14","zh","initial","7","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","14","zh","initial","7","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","14","zh","initial","7","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","15","ao","final","7","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","15","ao","final","7","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","15","ao","final","7","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","15","ao","final","7","1","Madman_1"
"madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","16","1","selection","7","1","Madman_1"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","16","1","selection","7","1","Madman_1"
"madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","16","1","selection","7","1","Madman_1"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","16","1","selection","7","1","Madman_1"
